Account,Total_PnL,Avg_PnL,Win_Rate_%,Avg_Trade_Size,Total_Trades,LS_Ratio
0x083384f897ee0f19899168e3b1bec365f52a9012,1600229.819979,419.1277684596647,35.961236249345205,16159.57673389209,3818,0.8120550545799715
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,47885.320514,6.5776539167582415,44.27197802197802,1653.2263269230768,7280,0.7230769230769231
0x271b280974205ca63b716753467d5a371de622ab,-70436.191318,-18.49204287687057,30.191651352060912,8893.000897873459,3809,0.6981720909496211
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,132464.814554,9.951529904139434,43.85846292540004,507.6269326121253,13311,1.013157894736842
0x2c229d22b100a7beb69122eed721cee9b24011dd,168658.004994,52.0710111126891,51.99135535659154,3138.894782340228,3239,0.5723300970873786
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,-31203.599985999997,-38.28662574969325,45.52147239263803,1729.9411042944785,815,0.28751974723538704
0x39cef799f8b69da1995852eea189df24eb5cae3c,14456.919335999995,4.0281190682641395,32.76678740596267,4790.575486207857,3589,0.8490468830499742
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,53496.247243,161.13327482831323,47.59036144578313,3445.471265060241,332,1.0493827160493827
0x420ab45e0bd8863569a5efbb9c05d91f40624641,199505.592732,520.9023308929503,23.49869451697128,5189.367127937337,383,0.35815602836879434
0x430f09841d65beb3f27765503d0f850b8bce7713,416541.872341,336.735547567502,48.42360549717058,2397.824753435732,1237,0.3229946524064171
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,103343.716161,12.130967972884141,35.34452400516492,517.5289235825802,8519,0.91739815440018
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,677747.0506429999,155.58931373806243,48.62258953168045,9084.699093204776,4356,0.9437751004016064
0x4f93fead39b70a1824f981a54d4e55b278e9f760,308975.869716,40.740489150316456,36.03639240506329,17098.171054852322,7584,1.2227432590855802
0x513b8629fe877bb581bf244e326a047b249c4ff1,840422.555216,68.68441935403726,40.119320039228505,34396.58028440667,12236,1.0852079072937968
0x6d6a4b953f202f8df5bed40692e7fd865318264a,108731.216772,111.51919668923077,43.17948717948718,746.7256512820513,975,0.5931372549019608
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,429355.565915,270.0349471163522,34.59119496855346,7216.667245283019,1590,0.6028225806451613
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,360539.510029,253.1878581664326,30.337078651685395,2080.390077247191,1424,0.8002528445006322
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,379095.406711,38.3195599627009,81.08763772364298,2600.7780491256444,9893,0.9929492344883158
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,14900.443047,9.557692781911483,45.22129570237332,3748.8675112251444,1559,0.7960829493087558
0x8170715b3b381dffb7062c0298972d4727a0a63b,-167621.12478100002,-36.43145507085416,38.274288198217775,2204.6855314062163,4601,0.967079948696024
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,65513.657906,34.2823955552067,33.01936159079016,6279.002286760858,1911,1.5277777777777777
0x8477e447846c758f5a675856001ea72298fd9cb5,43917.008976,2.928191023869849,26.19682624349913,820.4285131350847,14998,0.8668160318645756
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,126578.942134,41.47409637418087,28.538663171690693,3601.689298820446,3052,2.219409282700422
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,106302.875256,6.81210350887536,34.57866068567767,1273.1950003204101,15605,1.7757025969405906
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,72846.484272,174.6918088057554,57.31414868105516,2066.6892086330936,417,0.5977011494252874
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,67845.619531,120.50731710657195,40.852575488454704,2979.4417761989343,563,1.4372294372294372
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,21758.831753,40.746875941947565,32.20973782771536,8330.193370786517,534,1.3217391304347825
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2143382.597689,145.48174829898866,33.713432430597976,3837.885375008484,14733,0.8347447073474471
0xb899e522b5715391ae1d4f137653e7906c5e2115,22488.500821,4.648305254443986,43.861099627945435,22504.555828854896,4838,0.9587044534412955
0xbaaaf6571ab7d571043ff1e313a9609a10637864,940163.80622,44.364090516232544,46.75821064552662,3210.472831257078,21192,1.1198359507852356
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,220519.061853,83.49831952025748,32.75274517228323,7852.098337750852,2641,0.8238950276243094
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,836080.553077,20.806304824731235,42.8230141349791,1844.2118863229146,40184,0.764700715822757
